iter,error_autovalor,error_n2_autovectores
0,5.16982597503932,1.2805474018722371
1,3.2530869124210895,1.2381849583828832
2,2.469545898474088,1.2040974471470396
3,2.0045556598431915,1.1733974864229841
4,1.6695825392665817,1.1449347615859402
5,1.4156627566309723,1.1184249669202069
6,1.222862067970791,1.0936344782613872
7,1.0768301081351481,1.0702581624531988
8,0.9655077350475381,1.0479679655579917
9,0.8791647072902045,1.0264663115478352
10,0.8104124627546803,1.0055124752343378
11,0.7538944583184488,0.9849275302566722
12,0.7058464470049621,0.9645883319190198
13,0.6636763344655385,0.944417752932012
14,0.6256235931497045,0.9243748388136878
15,0.5905055864153397,0.9044463017159977
16,0.5575372017864773,0.8846396433882046
17,0.5262057168461105,0.8649777370717626
18,0.49618487659154553,0.8454945690091267
19,0.46727591506125776,0.826231852135912
20,0.4393667953104945,0.8072362831415574
21,0.41240371724409997,0.7885572781058752
22,0.38637093625531094,0.7702450760013961
23,0.36127629735528544,0.7523491397760986
24,0.33714078971380346,0.7349168124329982
25,0.31399100776503985,0.7179922029358385
26,0.29185377358809106,0.7016152865102424
27,0.2707524059525568,0.685821208290854
28,0.25070426501787324,0.670639780164345
29,0.23171929177637196,0.6560951595195097
30,0.21379931960472476,0.642205696499972
31,0.19693797530188206,0.6289839340029084
32,0.18112101691216154,0.6164367425618608
33,0.16632698009383873,0.6045655706768475
34,0.1525280262045925,0.5933667902467572
35,0.1396909046976873,0.5828321165494248
36,0.12777796018304244,0.5729490826672551
37,0.11674813057077316,0.5637015492920138
38,0.10655789694014217,0.5550702323594386
39,0.09716215803241468,0.5470332328504767
40,0.08851501250562777,0.5395665552368717
41,0.08057044035475869,0.5326446033338985
42,0.07328288132406513,0.5262406446491369
43,0.06660771290650658,0.5203272365912055
44,0.06050163386957763,0.5148766100476471
45,0.05492296140444353,0.509861007793919
46,0.04983185120513767,0.5052529769099415
47,0.045190450260452764,0.501025615828622
48,0.04096299207864362,0.49715277781066547
49,0.03711584362266507,0.49360923353515007
50,0.03361751254498202,0.49037079613151935
51,0.030438622480158273,0.48741441238092803
52,0.027551863257691878,0.4847182240144266
53,0.02493192199591121,0.48226160306664845
54,0.02255540016839319,0.4800251651413818
55,0.02040072092430023,0.4779907642428157
56,0.018448030207167676,0.4761414725537349
57,0.016679094560863916,0.4744615482256256
58,0.015077197937607423,0.4729363939074428
59,0.013627039327754886,0.47155250839707147
60,0.012314632611403198,0.4702974334654307
61,0.011127209678182481,0.4691596975872996
62,0.010053127569779718,0.4681287580214186
63,0.009081780160222763,0.4671949424189983
64,0.00820351469509717,0.46634939090590893
65,0.007409553357206278,0.4655839993796521
66,0.006691919904177723,0.4648913645865097
67,0.006043371331234226,0.4642647313952749
68,0.005457334440652772,0.4636979425592854
69,0.004927847148870512,0.46318539115567975
70,0.004449504324728792,0.4627219758071406
71,0.004017407929310934,0.46230305872448124
72,0.0036271212123644148,0.46192442655582766
73,0.0032746267140488783,0.46158225398759883
74,0.002956287820069292,0.46127307001214235
75,0.0026688136209322977,0.46099372675484906
76,0.002409226833904654,0.4607413707384398
77,0.002174834554757865,0.4605134164524927
78,0.0019632016176380773,0.46030752209107345
79,0.0017721263530745546,0.4601215673196025
80,0.0015996185466669033,0.4599536329330306
81,0.001443879413653093,0.45980198227037355
82,0.0013032834171973207,0.4596650442550953
83,0.0011763617705149443,0.459541397936377
84,0.0010617874750806777,0.4594297584125017
85,0.0009583617582755721,0.4593289640242626
86,0.0008650017851010716,0.4592379647131679
87,0.000780729528614188,0.45915581144611556
88,0.0007046616931418725,0.4590816466150821
89,0.0006360005939143321,0.45901469532697975
90,0.0005740259043882645,0.45895425750529056
91,0.0005180871909509221,0.45889970073118375
92,0.0004675971609202634,0.458850453757635
93,0.00042202555760439964,0.458806000635503
94,0.00038089364090865274,0.4587658753956679
95,0.000343769198430266,0.4587296572360604
96,0.00031026203672723796,0.45869696616686767
97,0.00028001990700587953,0.4586674590712832
98,0.0002527248239516666,0.45864082614295354
99,0.00022808973985277703,0.45861678766475583
