autovalor,correlacion
18.136696,0.266429
17.055171,0.066721
13.306122,0.45722
10.921068,0.339844
9.777241,0.496086
6.996197,0.060813
6.515545,0.461652
6.331592,0.082665
5.618034,0.0
5.378595,1.427676
4.580793,0.46571
4.480008,0.26223
4.275877,0.062841
3.472187,0.001872
3.381966,0.0
3.376154,0.37994
3.242067,0.505417
3.013963,0.05572
2.749157,0.940899
2.487092,0.684434
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
2.0,0.0
1.95505,0.065144
1.826055,0.401069
1.761899,0.158209
1.599283,0.325133
1.259404,0.002377
1.125011,1.9435
0.909248,1.550553
0.468525,4.750632
nan,0
