test,tipo,error_n1_rel,error_ninf_rel,error_n1_abs,error_ninf_abs,min_aval,max_aval
0,D,0.0,0.0,0.0,0.0,-972.0,987.0
0,H,1.5435257060937373e-06,6.511252625976622e-07,3.6209018006161386e-09,3.073850507462339e-09,-988.0000000000002,943.0
0,S,1.063593579431199e-05,1.233085185958771e-06,2.023534761974588e-07,7.82310962677002e-08,11670.999656688557,20493009.603950266
1,D,0.0,0.0,0.0,0.0,-884.0,819.0
1,H,5.863642904557764e-12,5.243624978668038e-12,1.8616219676914625e-12,4.547473508864641e-13,-696.0000000000002,993.0
1,S,6.800328722800231e-05,8.17759956817099e-06,2.4713790480745956e-07,7.82310962677002e-08,1818.72417112306,22578805.44342309
2,D,1.717189146e-06,1.717189146e-06,0.0,0.0,-956.0,981.0
2,H,9.511502696568641e-12,8.134382056823597e-12,1.872280108727864e-12,3.410605131648481e-13,-951.9999999999999,861.0000000000001
2,S,1.1051671272355179e-05,1.6191838767554145e-06,1.874068402685225e-07,5.587935447692871e-08,5712.3154633505155,21051197.159343056
3,D,0.0,0.0,0.0,0.0,-996.0,833.0
3,H,6.9393379931170784e-12,6.4613869810159485e-12,2.3874235921539366e-12,5.684341886080801e-13,-978.0000000000002,913.0
3,S,0.09350635248933731,0.009201474485231398,2.449399862936019e-07,5.960464477539063e-08,1.593061289330515,24013758.477628987
4,D,0.0,0.0,0.0,0.0,-994.0,877.0
4,H,3.948885662907742e-11,1.752775702357212e-11,2.2168933355715126e-12,3.410605131648481e-13,-844.0,972.9999999999997
4,S,6.5948333087817446e-06,7.909173973530415e-07,1.9288017938379198e-07,4.470348358154297e-08,14552.447323701423,24251395.191160113
5,D,0.0,0.0,0.0,0.0,-916.0,977.0
5,H,2.6931986805631136e-11,1.4019660432573744e-11,2.7124968937641825e-12,5.684341886080801e-13,-940.0000000000001,977.0000000000001
5,S,3.846432719001314e-06,6.786258381907828e-07,1.716507540550083e-07,3.725290298461914e-08,23991.864543534495,26005515.620175563
6,D,0.0,0.0,0.0,0.0,-850.0,967.0
6,H,6.6245897656358466e-12,7.227107801099919e-12,1.8332002582610585e-12,2.2737367544323206e-13,-954.0000000000001,889.0
6,S,6.479957681193582e-05,9.305682112881186e-06,1.9677304408105556e-07,4.6566128730773926e-08,1767.4700733967638,24679962.499537077
7,D,0.0,0.0,0.0,0.0,-780.0,851.0
7,H,7.783995670251898e-12,6.501132965297529e-12,1.8332002582610585e-12,3.410605131648481e-13,-888.0000000000003,944.9999999999998
7,S,1.9757389630115085e-05,3.396600845917419e-06,1.9403250917093828e-07,5.587935447692871e-08,3473.817516808164,21992762.339491475
8,D,0.0,0.0,0.0,0.0,-926.0,965.0
8,H,8.071765478234738e-12,6.959766096770181e-12,2.4442670110147446e-12,5.684341886080801e-13,-902.0000000000006,976.9999999999999
8,S,8.832544905246209e-05,1.0281832445002692e-05,1.5295779576263158e-07,2.9802322387695312e-08,665.7116140955318,23516079.46362254
9,D,0.0,0.0,0.0,0.0,-954.0,549.0
9,H,2.770640240790101e-06,9.296047362994386e-07,2.9274360713316128e-12,6.821210263296962e-13,-942.0000000000002,910.9999999999999
9,S,1.0005119293055031e-06,2.88923729385715e-07,1.7491402104496956e-07,6.705522537231445e-08,111836.43929841422,26924693.210938655
10,D,0.0,0.0,0.0,0.0,-980.0,871.0
10,H,9.243964621541423e-11,2.2330748361554242e-11,2.5304203177256568e-12,5.684341886080801e-13,-835.9999999999999,951.0
10,S,1.0946320017524158e-05,1.6341123227903154e-06,1.528433131170459e-07,3.725290298461914e-08,7495.09000424787,18864924.972003084
11,D,0.0,0.0,0.0,0.0,-992.0,887.0
