iter,error_v1,error_v2
0,1.1532382749534775,0.4037101435695767
2,0.9653632753022284,0.18857968180348683
4,0.8094973518913611,0.0655688537023329
6,0.6542869948180217,0.019437604278935705
8,0.5092730587728524,0.005826817280627505
10,0.38482415259361624,0.0018645813233153508
12,0.28510606920923715,0.000643070266524326
14,0.20875722671388736,0.00023909054083937065
16,0.15185690393174606,9.561813753999893e-05
18,0.11008164974834553,4.090120173749767e-05
20,0.07965539995187158,1.853094120529697e-05
22,0.0575870377457281,8.783869642314812e-06
24,0.04161458048744299,4.3032829246669735e-06
26,0.030066323644722903,2.1566464811773045e-06
28,0.021721020541513935,1.097169498365247e-06
30,0.01569169090407372,5.635766382461327e-07
32,0.011336004175868514,2.912540748578607e-07
34,0.008189463589102037,1.5109099638088708e-07
36,0.00591639846131061,7.856470718436981e-08
38,0.0042743072124131224,4.0911865228920874e-08
40,0.003088017105242775,2.13237163482205e-08
42,0.0022309941581374506,1.1120379506124323e-08
44,0.0016118368906952996,5.801331859345282e-09
46,0.0011645199162234334,3.0271269935155942e-09
48,0.0008413472622108311,1.5797680941176395e-09
50,0.0006078629404615035,8.245066851486627e-10
52,0.0004391750322071435,4.3034775742967213e-10
54,0.0003173005866146826,2.2462609550188972e-10
56,0.00022924775894366477,1.17249987496848e-10
58,0.0001656304194973917,6.120259854469623e-11
60,0.00011966736193778387,3.1947333667403655e-11
62,8.645931958757227e-05,1.667643800828955e-11
64,6.246666027388405e-05,8.705036691480927e-12
66,4.5132049710408974e-05,4.544142839790766e-12
68,3.260784222398712e-05,2.3721025144141095e-12
70,2.3559129896668904e-05,1.2383427616668996e-12
72,1.7021450878099642e-05,6.461498003318411e-13
74,1.2297986653031584e-05,3.375077994860476e-13
76,8.885288776922221e-06,1.765254609153999e-13
78,6.4196174111111875e-06,9.192646643896296e-14
80,4.6381714647708615e-06,4.796163466380676e-14
82,3.351077684417092e-06,2.531308496145357e-14
84,2.4211529474434924e-06,1.2878587085651816e-14
86,1.7492826192939756e-06,6.8833827526759706e-15
88,1.2638564741550955e-06,3.774758283725532e-15
90,9.131361788547715e-07,1.9984014443252818e-15
92,6.597408191479019e-07,1.1102230246251565e-15
94,4.7666270211953423e-07,6.661338147750939e-16
96,3.443887798613737e-07,4.440892098500626e-16
98,2.4882088079398787e-07,2.220446049250313e-16
