iter,error_autovalor,error_n2_autovectores
0,15.330839195382193,0.5418168710188525
1,11.693487992820428,0.5093094095940831
2,10.093921170149057,0.48585426695444855
3,8.802504504175225,0.46632011849137456
4,7.7430283879960236,0.4482982186969773
5,6.910116581490669,0.4305196874120065
6,6.2658952167365936,0.41237346573732303
7,5.765622295861693,0.3935738491486731
8,5.368813007159037,0.3739885547453339
9,5.042104767255571,0.3535711685779146
10,4.759335685600917,0.33233949954691666
11,4.500741849928865,0.31037047249609184
12,4.251972002775291,0.2877991712670236
13,4.003196010763249,0.264816792028582
14,3.7483864157318294,0.24166502396856804
15,3.484747517921978,0.21862564573375542
16,3.2122184973022136,0.19600512921682878
17,2.9329709854168335,0.17411514218621438
18,2.650846853154352,0.15325095490626062
19,2.3707267284405305,0.13367057499651325
20,2.0978675845400545,0.11557762827236195
21,1.8372808762854156,0.09911041692225364
22,1.5932289084553837,0.08433836027553432
23,1.3688956933758796,0.0712655520749268
24,1.1662503586015127,0.059839918662001335
25,0.9860822865253631,0.04996576445797474
26,0.8281606547596603,0.04151742331871233
27,0.6914619835704237,0.034352152290882954
28,0.5744151165574074,0.028321058670654597
29,0.4751272270723206,0.023277510307931903
30,0.3915703914185009,0.01908299758780685
31,0.32172165840172084,0.01561074313134947
32,0.26365862140598395,0.01274750867068053
33,0.21561737970855077,0.010394075532251579
34,0.1760214804484761,0.008464827382660856
35,0.14349015817688127,0.006886782800734181
36,0.11683292695798286,0.005598338146107329
37,0.09503600272856261,0.004547902962534822
38,0.07724452369403778,0.003692546845175837
39,0.06274326811758968,0.0029967291096126836
40,0.05093758852850172,0.002431148898772939
41,0.04133556933589588,0.001971730779936509
42,0.03353192417614892,0.0015987466174860465
43,0.027193827991940367,0.0012960661452532385
44,0.022048680082193073,0.0010505243044722778
45,0.01787368042674231,0.0008513916500287877
46,0.014487043983962167,0.0006899339604160559
47,0.011740655887276574,0.0005590479354300459
48,0.009513970344602996,0.0004529610832646469
49,0.007708968088749657,0.00036698530300416365
50,0.006246005304351598,0.00029731508971631015
51,0.005060407254084964,0.00024086263153422216
52,0.00409968008300865,0.000195123283432741
53,0.0033212332446730386,0.00015806597229639507
54,0.00269052206564524,0.00012804401135779742
55,0.0021795349308213474,0.00010372258786217614
56,0.0017655624501138334,8.401984926020845e-05
57,0.0014301968982977087,6.805906552176388e-05
58,0.0011585194056635828,5.512980343080898e-05
59,0.0009384400345986421,4.4656427065303816e-05
60,0.0007601622252693119,3.6172549906288154e-05
61,0.0006157483291318044,2.9300319188241275e-05
62,0.0004987672527434484,2.3733621881794065e-05
63,0.0004040087617660504,1.9224472118883895e-05
64,0.0003272518782253542,1.5571978830841715e-05
65,0.00026507715839585444,1.2613405479200424e-05
66,0.0002147145565558617,1.0216925771633356e-05
67,0.00017392014125405808,8.275754053377327e-06
68,0.0001408762004508901,6.703389768825119e-06
69,0.00011411030370211961,5.429764731168518e-06
70,9.242972741319022e-05,4.39812190977662e-06
71,7.486832945602373e-05,3.562486933450515e-06
72,6.064351105194987e-05,2.885619787118543e-06
73,4.9121351679559666e-05,2.337355551773612e-06
74,3.978836554452414e-05,1.8932603089716338e-06
75,3.2228622458774225e-05,1.5335423675377768e-06
76,2.6105214619320805e-05,1.242170312831803e-06
77,2.1145243799480795e-05,1.0061586062093397e-06
78,1.7127660576932158e-05,8.149888996999977e-07
79,1.387341366054784e-05,6.601412898543657e-07
80,1.123747070863601e-05,5.347146290191063e-07
81,9.102354972867488e-06,4.3311897046649506e-07
82,7.372909959002527e-06,3.5082644544992547e-07
83,5.972058648495704e-06,2.84169472841711e-07
84,4.837368560828281e-06,2.3017730721441865e-07
85,3.918269221969695e-06,1.864436411924686e-07
86,3.1737985146662595e-06,1.5101936412520445e-07
87,2.570777095201038e-06,1.2232569446268826e-07
88,2.0823296296157423e-06,9.908381914947029e-08
89,1.6866871419551899e-06,8.025789721699539e-08
90,1.366216658027497e-06,6.50088998188636e-08
91,1.1066355511957227e-06,5.265721059188877e-08
92,8.963748356904944e-07,4.265234143652208e-08
93,7.260636394335052e-07,3.4548397254141605e-08
94,5.88111564781002e-07,2.7984202288777738e-08
95,4.7637037425829476e-07,2.266720433574676e-08
96,3.858600123862743e-07,1.836043561631584e-08
97,3.1254660370905185e-07,1.4871952780382003e-08
98,2.53162756536085e-07,1.2046282193978186e-08
99,2.0506184483792822e-07,9.757488372841294e-09
100,1.6610008657380604e-07,7.903565579781002e-09
