iter,error_autovalor,error_n2_autovectores
0,11.149326758386012,1.5354238407579976
10,0.08572727943659686,1.8161568405355046
20,0.008974007488998126,1.822428730596033
30,0.0010669090008903481,1.8231375446429263
40,0.00012871550820037214,1.8232223628174533
50,1.5608824401880383e-05,1.8232326171080777
60,1.8960981655880005e-06,1.823233861468693
70,2.3046010610983103e-07,1.8232340126625837
80,2.8016206243819397e-08,1.8232340310406732
90,3.4060363418575434e-09,1.8232340332748826
100,4.14111411828344e-10,1.8232340335465056
110,5.03597163969971e-11,1.8232340335795292
120,6.142641950646066e-12,1.823234033583545
130,7.673861546209082e-13,1.8232340335840342
140,1.0658141036401503e-13,1.8232340335840942
150,3.552713678800501e-14,1.8232340335841026
160,2.842170943040401e-14,1.823234033584104
170,3.197442310920451e-14,1.8232340335841049
180,2.1316282072803006e-14,1.823234033584106
190,1.7763568394002505e-14,1.8232340335841069
200,1.7763568394002505e-14,1.8232340335841073
